Date,Station IV (Central Bay),Station V (Northern West Bay)
Jan-16,0.053,0.097
Feb-16,0.036,0.018
Mar-16,0.019,0.133
Apr-16,0.129,0.083
May-16,0.05,0.349
Jun-16,0.051,0.336
Jul-16,0.034,0.067
Aug-16,0.183,0.12
Sep-16,0.073,0.029
Oct-16,0.034,0.236
Nov-16,0.052,0.048
Dec-16,0.027,0.012
Jan-17,0.001,0.001
Feb-17,0.091,0.074
Mar-17,0.033,0.046
Apr-17,0.03,0.048
May-17,0.026,0.404
Jun-17,0.027,0.028
Jul-17,0.053,0.844
Aug-17,0.047,0.025
Sep-17,0.012,0.039
Oct-17,0.022,0.032
Nov-17,0.045,0.045
Dec-17,0.091,0.017
Jan-18,0.029,0.027
Feb-18,0.011,0.036
Mar-18,0.015,0.01
Apr-18,0.025,0.285
May-18,0.08,0.055
Jun-18,0.011,0.062
Jul-18,0.001,0.002
Aug-18,0.061,0.023
Sep-18,0.066,0.001
Oct-18,0.023,0.021
Nov-18,0.015,0.015
Dec-18,0.028,0.039
Jan-19,0.08,0.04
Feb-19,0.02,0.38
Mar-19,0.04,0.14
Apr-19,0.017,0.042
May-19,0.065,0.0655
Jun-19,0.044,0.049
Jul-19,0.04,1.54
Aug-19,0.071,0.065
Sep-19,0.06,0.029
Oct-19,0.051,0.125
Nov-19,0.209,0.111
Dec-19,0.038,0.01
Jan-20,0.118,0.081
Feb-20,0.113,0.027
Mar-20,0.083,0.078
Apr-20,0.079166667,0.070666667
May-20,0.075333333,0.063333333
Jun-20,0.0715,0.056
Jul-20,0.067666667,0.048666667
Aug-20,0.063833333,0.041333333
Sep-20,0.06,0.034
Oct-20,0.025,0.019
Nov-20,0.005,0.005
Dec-20,0.005,0.005
Jan-21,0.019,0.028
Feb-21,0.035,0.034
Mar-21,0.005,0.005
Apr-21,0.01375,0.01975
May-21,0.0225,0.0345
Jun-21,0.03125,0.04925
Jul-21,0.04,0.064
Aug-21,0.03,0.03
Sep-21,0.03,0.02
Oct-21,0.01,0.02
Nov-21,0.005,0.005
Dec-21,0.01,0.039
Jan-22,0.1375,0.164
Feb-22,0.265,0.289
Mar-22,0.04,0.02
Apr-22,0.02,0.01
May-22,0.01,0.01
Jun-22,0.01,0.03
Jul-22,0.04,0.08
Aug-22,0.06,0.23
Sep-22,0.01,0.03
Oct-22,0.005,0.005
Nov-22,0.005,0.01
Dec-22,0.005,0.05
